"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/App.css", "CSS", 0, 0, 33, 0, 6, 39
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/App.js", "JavaScript", 27, 0, 0, 0, 3, 30
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/App.test.js", "JavaScript", 7, 0, 0, 0, 2, 9
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/AdvancedGamePage/Game_Advanced/CharacterSelectionContainer/CharacterSelectionContainer.js", "JavaScript", 43, 0, 0, 0, 3, 46
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/AdvancedGamePage/Game_Advanced/CharacterSelectionContainer/CharacterSelectionContainer.module.css", "CSS", 0, 0, 49, 0, 5, 54
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/AdvancedGamePage/Game_Advanced/Game.js", "JavaScript", 21, 0, 0, 0, 3, 24
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/AdvancedGamePage/Game_Advanced/Game.module.css", "CSS", 0, 0, 6, 0, 1, 7
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/ClassicGamePage/Game_Classic/CharacterSelectionContainer/CharacterSelectionContainer.js", "JavaScript", 33, 0, 0, 0, 2, 35
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/ClassicGamePage/Game_Classic/CharacterSelectionContainer/CharacterSelectionContainer.module.css", "CSS", 0, 0, 31, 0, 2, 33
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/ClassicGamePage/Game_Classic/Game.js", "JavaScript", 23, 0, 0, 0, 3, 26
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/ClassicGamePage/Game_Classic/Game.module.css", "CSS", 0, 0, 6, 0, 1, 7
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/ModeSelectionPage/ModeOptions/ModeOptions.js", "JavaScript", 39, 0, 0, 0, 2, 41
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/ModeSelectionPage/ModeOptions/ModeOptions.module.css", "CSS", 0, 0, 51, 0, 3, 54
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/ModeSelectionPage/WelcomeBox/WelcomeBox.js", "JavaScript", 11, 0, 0, 0, 2, 13
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/ModeSelectionPage/WelcomeBox/WelcomeBox.module.css", "CSS", 0, 0, 9, 0, 2, 11
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/UI/GameButton/GameButton.js", "JavaScript", 41, 0, 0, 0, 2, 43
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/UI/GameButton/GameButton.module.css", "CSS", 0, 0, 61, 0, 2, 63
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/UI/Modal/Modal.js", "JavaScript", 37, 0, 0, 0, 3, 40
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/UI/Modal/Modal.module.css", "CSS", 0, 0, 51, 0, 1, 52
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/UI/ResultContainer/ResultContainer.js", "JavaScript", 68, 0, 0, 0, 8, 76
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/UI/ResultContainer/ResultContainer.module.css", "CSS", 0, 0, 39, 0, 1, 40
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/UI/RulesButton/RulesButton.js", "JavaScript", 17, 0, 0, 0, 2, 19
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/UI/RulesButton/RulesButton.module.css", "CSS", 0, 0, 16, 0, 1, 17
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/UI/ScoreTable/ScoreTable.js", "JavaScript", 28, 0, 0, 0, 2, 30
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Components/UI/ScoreTable/ScoreTable.module.css", "CSS", 0, 0, 41, 0, 4, 45
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Functions/useDetermine.js", "JavaScript", 50, 0, 0, 1, 2, 53
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Pages/AdvancedGamePage.js", "JavaScript", 14, 0, 0, 0, 2, 16
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Pages/ClassicGamePage.js", "JavaScript", 12, 0, 0, 0, 2, 14
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Pages/ModeSelectionPage.js", "JavaScript", 15, 0, 0, 0, 2, 17
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Pages/NotFoundPage.js", "JavaScript", 27, 0, 0, 1, 3, 31
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/Pages/NotFoundPage.module.css", "CSS", 0, 0, 26, 0, 1, 27
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/index.css", "CSS", 0, 0, 15, 0, 4, 19
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/index.js", "JavaScript", 19, 0, 0, 3, 3, 25
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/logo.svg", "XML", 0, 1, 0, 0, 0, 1
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/redux/game-slice.js", "JavaScript", 52, 0, 0, 0, 5, 57
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/redux/store.js", "JavaScript", 7, 0, 0, 0, 2, 9
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/redux/ui-slice.js", "JavaScript", 12, 0, 0, 0, 2, 14
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"/Users/firatmacbook/Desktop/Desktop/Google Backups/Udemy React Course-Academind/MyProjects-REACT/rock-paper-scissors-game-2/src/setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"Total", "-", 616, 1, 434, 9, 97, 1157